pattern_id,name,permalink,published,free,price,currency,craft,pattern_categories,yarn_weight,yarn_weight_description,gauge,row_gauge,gauge_description,yardage,yardage_max,yardage_description,projects_count,favorites_count,queued_projects_count,difficulty_average,rating_average,rating_count,downloadable
7498393,Elza Sweater,elza-sweater,,False,,,,null,,,,,,,,,,,,,,,
7498528,Sway Sweater,sway-sweater,,True,,,,null,,,,,,,,,,,,,,,
1255578,Step by Step Sweater,step-by-step-sweater,,True,,,,null,,,,,,,,,,,,,,,
7497807,Ridgewood Sweater,ridgewood-sweater,,False,,,,null,,,,,,,,,,,,,,,
7497838,BABA sweater Chunky,baba-sweater-chunky,,False,,,,null,,,,,,,,,,,,,,,
7498559,The Beginner Boho Sweater,the-beginner-boho-sweater,,False,,,,null,,,,,,,,,,,,,,,
7345961,Olga Sweater,olga-sweater,,False,,,,null,,,,,,,,,,,,,,,
7304956,Cloud Sweater,cloud-sweater-8,,False,,,,null,,,,,,,,,,,,,,,
7475540,Sweater No. 33,sweater-no-33,,False,,,,null,,,,,,,,,,,,,,,
7498127,Moonlight Sweater,moonlight-sweater-5,,False,,,,null,,,,,,,,,,,,,,,
1261294,Monday Sweater,monday-sweater-2,,False,,,,null,,,,,,,,,,,,,,,
7497855,The Baby Loon Sweater,the-baby-loon-sweater,,False,,,,null,,,,,,,,,,,,,,,
7498378,Maple Sweater,maple-sweater-7,,False,,,,null,,,,,,,,,,,,,,,
7498538,Snowdrift Sweater,snowdrift-sweater-4,,False,,,,null,,,,,,,,,,,,,,,
1197380,Sweater No. 18,sweater-no-18,,False,,,,null,,,,,,,,,,,,,,,
7455631,Rosie Sweater,rosie-sweater-4,,False,,,,null,,,,,,,,,,,,,,,
7498523,Meadow,meadow-24,,False,,,,null,,,,,,,,,,,,,,,
1352501,Storm Sweater,storm-sweater-3,,False,,,,null,,,,,,,,,,,,,,,
7450350,Ivy Sweater,ivy-sweater-6,,False,,,,null,,,,,,,,,,,,,,,
7497663,Carrie Sweater,carrie-sweater-2,,False,,,,null,,,,,,,,,,,,,,,
1330476,Salty Days Sweater,salty-days-sweater,,False,,,,null,,,,,,,,,,,,,,,
7467169,Frankie Sweater,frankie-sweater-2,,False,,,,null,,,,,,,,,,,,,,,
7498469,Nintai Sweater,nintai-sweater,,False,,,,null,,,,,,,,,,,,,,,
1341627,Field Sweater,field-sweater,,False,,,,null,,,,,,,,,,,,,,,
7497569,Porter,porter-4,,True,,,,null,,,,,,,,,,,,,,,
754478,Ranunculus,ranunculus-3,,False,,,,null,,,,,,,,,,,,,,,
1135503,Sweater No. 15,sweater-no-15,,False,,,,null,,,,,,,,,,,,,,,
7302105,Sweater No. 28,sweater-no-28,,False,,,,null,,,,,,,,,,,,,,,
1293794,Porcelain Sweater,porcelain-sweater,,False,,,,null,,,,,,,,,,,,,,,
1281925,Sweater No. 23,sweater-no-23,,False,,,,null,,,,,,,,,,,,,,,
7351460,Sweater No. 29,sweater-no-29,,False,,,,null,,,,,,,,,,,,,,,
7321214,Norma Sweater,norma-sweater-3,,False,,,,null,,,,,,,,,,,,,,,
